Word,Frequency,Score
seen,189.0,2.6407407407407413
traffic,231.0,2.7034632034632025
get,2759.0,2.806016672707506
little,1434.0,2.7220362622036287
otherwise,201.0,2.79502487562189
super,261.0,2.9245210727969337
classic,810.0,3.191604938271609
fun,2369.0,2.7106373997467355
tops,87.0,2.6988505747126443
directly,1094.0,2.706032906764168
spots,129.0,2.737209302325582
pretty,691.0,2.6764109985528206
seem,133.0,2.790225563909776
bit,1592.0,2.682914572864325
times,160.0,2.74
safer,55.0,2.665454545454546
fall,512.0,2.6783203125
potential,176.0,2.6159090909090903
during,129.0,2.8232558139534882
several,672.0,2.7864583333333335
ascents,110.0,2.8581818181818197
large,3792.0,2.6326740506329003
cam,644.0,2.715838509316769
line,2489.0,2.7901566894335095
for,10328.0,2.7440646785437623
optional,344.0,2.726453488372089
boulder,833.0,2.7432172869147693
shared,261.0,2.788122605363985
protect,654.0,2.797553516819569
directional,80.0,2.83125
moving,436.0,2.723394495412843
rapping,156.0,2.8993589743589743
down,3427.0,2.699708199591472
meter,381.0,2.809448818897636
rope,3702.0,2.795569962182602
will,2900.0,2.8108620689655233
ffa,61.0,3.0737704918032787
yet,260.0,2.846153846153844
couple,1072.0,2.8044776119403028
pins,358.0,2.7754189944134073
could,917.0,2.6804798255179954
easily,699.0,2.7882689556509295
upon,79.0,2.6734177215189874
around,2258.0,2.7173162090345495
ledges,819.0,2.620512820512822
pull,1729.0,2.8648930017351053
bulge,1397.0,2.7403006442376583
staying,187.0,2.575935828877005
bush,410.0,2.4373170731707305
reach,1973.0,2.7408008109477984
gray,89.0,2.6752808988764043
linking,104.0,2.956730769230769
these,579.0,2.817098445595852
pitches,3127.0,2.8128877518388227
together,208.0,2.7336538461538464
makes,420.0,2.785952380952379
amazing,408.0,3.321323529411763
experience,158.0,2.8075949367088615
only,1108.0,2.7180505415162477
views,278.0,2.7964028776978416
enjoy,313.0,2.9670926517571896
descend,677.0,2.6491875923190538
either,958.0,2.7208768267223413
lowering,56.0,3.1089285714285713
off,3936.0,2.7516768292682836
set,962.0,2.79698544698545
chains,565.0,2.822123893805308
enough,347.0,2.822478386167147
other,814.0,2.7291154791154795
option,424.0,2.7974056603773585
standard,235.0,2.683829787234042
coming,129.0,2.76046511627907
normal,103.0,2.792233009708737
multi,65.0,2.7769230769230777
adventure,416.0,2.5593749999999997
warmup,67.0,2.9223880597014924
climbers,799.0,2.736420525657075
drag,823.0,2.7461725394896694
features,474.0,2.8512658227848062
nice,2185.0,2.747551487414191
tips,167.0,3.148502994011976
splitter,657.0,3.0684931506849313
many,649.0,2.818335901386749
folks,71.0,2.690140845070424
webbing,171.0,2.5918128654970762
needs,110.0,2.7254545454545456
those,321.0,2.754205607476635
hollow,206.0,2.6417475728155333
rings,232.0,2.7620689655172446
are,4675.0,2.7845775401069384
single,1125.0,2.8469333333333378
use,859.0,2.7854481955762522
should,603.0,2.7482587064676616
used,413.0,2.5537530266343818
link,391.0,2.9386189258312037
going,656.0,2.733231707317074
own,206.0,2.704368932038835
last,1577.0,2.8290424857324066
